Date,Category,Amount,Notes
2026-07-14,Equipment,50000,
2026-07-03,Rent & Utilities,15000,Monthly Rent & Utility Bill
2026-07-02,Staff Salary,45000,Monthly Staff Salaries
2026-07-02,Marketing & Ads,8000,Facebook & Google Ads
2026-06-12,Inventory Purchase,2000,Restocking inventory
2026-06-12,Inventory Purchase,25000,Restocking inventory
2026-06-07,Other,25000,Misc expenses
2026-06-03,Rent & Utilities,15000,Monthly Rent & Utility Bill
2026-06-03,Staff Salary,45000,Monthly Staff Salaries
2026-06-03,Marketing & Ads,8000,Facebook & Google Ads
2026-05-28,Equipment,25000,
2026-05-13,Equipment,25000,
2026-05-13,Shipping Setup,50000,
2026-05-04,Rent & Utilities,15000,Monthly Rent & Utility Bill
2026-05-02,Staff Salary,45000,Monthly Staff Salaries
2026-05-02,Marketing & Ads,8000,Facebook & Google Ads
2026-04-24,Equipment,5000,
2026-04-23,Shipping Setup,15000,
2026-04-13,Other,5000,Misc expenses
2026-04-11,Equipment,25000,
2026-04-06,Rent & Utilities,15000,Monthly Rent & Utility Bill
2026-04-06,Equipment,25000,
2026-04-04,Staff Salary,45000,Monthly Staff Salaries
2026-04-03,Marketing & Ads,8000,Facebook & Google Ads
2026-03-22,Inventory Purchase,2000,Restocking inventory
2026-03-10,Shipping Setup,2000,
2026-03-09,Equipment,25000,
2026-03-07,Marketing & Ads,8000,Facebook & Google Ads
2026-03-07,Equipment,2000,
2026-03-04,Rent & Utilities,15000,Monthly Rent & Utility Bill
2026-03-04,Staff Salary,45000,Monthly Staff Salaries
2026-02-21,Other,50000,Misc expenses
2026-02-18,Other,5000,Misc expenses
2026-02-15,Shipping Setup,15000,
2026-02-14,Inventory Purchase,25000,Restocking inventory
2026-02-10,Equipment,5000,
2026-02-04,Marketing & Ads,12000,Facebook & Google Ads
2026-02-02,Staff Salary,45000,Monthly Staff Salaries
2026-01-31,Rent & Utilities,15000,Monthly Rent & Utility Bill
2026-01-23,Inventory Purchase,25000,Restocking inventory
2026-01-17,Equipment,15000,
2026-01-17,Shipping Setup,5000,
2026-01-10,Equipment,25000,
2026-01-05,Staff Salary,45000,Monthly Staff Salaries
2026-01-05,Marketing & Ads,12000,Facebook & Google Ads
2026-01-03,Rent & Utilities,15000,Monthly Rent & Utility Bill
