Name,SKU,Category,Supplier,Unit Cost,Sell Price,Current Stock,Reorder Level
Surge Protector,SKU-1001,Networking,Techland,1100,1350,187,12
Xiaomi Mechanical Keyboard,SKU-1002,Electronics,Ryans Computers,5040,6800,97,7
A4Tech Wireless Mouse,SKU-1003,Office Supplies,Techland,3660,4800,160,15
A4Tech HDMI Cable (2m),SKU-1004,Electronics,UCC,780,1050,54,13
Razer Wireless Earbuds,SKU-1005,Networking,Computer Village,6470,8050,101,5
Asus Ethernet Cable (5m),SKU-1006,Storage,UCC,690,800,183,17
Headphones with Mic,SKU-1007,Office Supplies,Computer Village,5850,7900,150,5
LG Ethernet Cable (5m),SKU-1008,Networking,UCC,310,350,11,6
Samsung Power Strip (6 Port),SKU-1009,Office Supplies,UCC,910,1150,20,17
Netgear SSD 500GB,SKU-1010,Networking,Ryans Computers,7060,8650,56,19
Xiaomi SSD 1TB,SKU-1011,Office Supplies,Computer Village,8190,11300,139,7
Logitech UPS 650VA,SKU-1012,Networking,UCC,3540,4500,185,6
HP UPS 650VA,SKU-1013,Electronics,Ryans Computers,4860,6100,130,15
Logitech Surge Protector,SKU-1014,Electronics,Star Tech,650,850,161,14
HP HDMI Cable (2m),SKU-1015,Storage,Ryans Computers,230,300,72,18
Razer Surge Protector,SKU-1016,Networking,UCC,470,600,64,8
Xiaomi Bluetooth Speaker,SKU-1017,Storage,Techland,5340,6500,176,13
Ethernet Cable (5m),SKU-1018,Storage,Ryans Computers,450,550,77,20
UPS 650VA,SKU-1019,Electronics,Computer Village,3930,5300,151,12
Wi-Fi Range Extender,SKU-1020,Electronics,Computer Village,2920,3350,93,18
27-inch Monitor,SKU-1021,Office Supplies,Star Tech,18830,26150,109,14
Laptop Stand,SKU-1022,Electronics,Star Tech,810,1050,152,14
Dell A4 Paper Pack (500 sheets),SKU-1023,Storage,Techland,450,550,59,14
Asus External HDD 1TB,SKU-1024,Storage,UCC,5000,6400,148,18
Razer SSD 1TB,SKU-1025,Office Supplies,Techland,3660,4300,56,7
Anker Headphones with Mic,SKU-1026,Office Supplies,Techland,1480,1950,50,10
Xiaomi Bluetooth Speaker,SKU-1027,Networking,Computer Village,1200,1500,45,17
Wi-Fi Range Extender,SKU-1028,Networking,Techland,1680,2000,146,16
Logitech Ethernet Cable (10m),SKU-1029,Office Supplies,Techland,310,400,73,16
Dell Bluetooth Speaker,SKU-1030,Storage,Ryans Computers,1010,1400,184,19
A4Tech Surge Protector,SKU-1031,Office Supplies,UCC,1140,1350,166,20
Gaming Mouse,SKU-1032,Office Supplies,Techland,3770,4700,69,14
Xiaomi LED Desk Lamp,SKU-1033,Electronics,Computer Village,3270,4350,32,8
Dell HDMI Cable (2m),SKU-1034,Networking,UCC,360,450,92,5
Logitech HDMI Cable (2m),SKU-1035,Accessories,Computer Village,700,800,110,9
Netgear Type-C to USB Cable,SKU-1036,Networking,Ryans Computers,190,200,131,12
HP 24-inch Monitor,SKU-1037,Storage,Ryans Computers,25620,31150,101,13
Xiaomi Mousepad (Large),SKU-1038,Networking,Techland,1420,1700,195,14
Dell Surge Protector,SKU-1039,Electronics,Computer Village,670,800,154,13
A4Tech USB-C Hub,SKU-1040,Accessories,Star Tech,3200,3950,22,13
